,error,altitude,pressure,year,flight,dpressure,mach,CPI
0,4.519931983059166,6425.75634765625,465.16461181640625,2014,b872,79.87843322753906,0.4812418520450592,0.05658513569218161
0,2.503249625363651,9059.5751953125,300.34832763671875,2014,b875,70.60791778564453,0.5575968623161316,0.035452817529092934
1,2.677182329480985,10277.2265625,249.2835693359375,2014,b875,79.94197082519531,0.6430987119674683,0.03348907090788431
2,2.7556776926421946,10268.357421875,249.377685546875,2014,b875,73.93264770507812,0.6205037832260132,0.037272812190289224
3,2.627401244757209,10266.9765625,249.4247589111328,2014,b875,84.33949279785156,0.6587228178977966,0.031152680169119283
0,3.1036799669732886,8741.9990234375,328.4991455078125,2014,b876,76.13197326660156,0.553912341594696,0.04076710262197875
0,2.5893685566144313,9984.21484375,249.70733642578125,2014,b884,85.35787200927734,0.6619662046432495,0.030335439434724883
1,2.1129562338468872,9959.0546875,249.18948364257812,2014,b884,75.43746948242188,0.6264539957046509,0.028009373171501192
2,2.5186366551771755,9971.0361328125,249.8015899658203,2014,b884,92.89181518554688,0.687531054019928,0.027113655278953496
3,2.6250880612595324,9956.7578125,249.5189208984375,2014,b884,83.31533813476562,0.6549810767173767,0.03150786061761348
0,2.1948313549882528,10457.7958984375,249.56600952148438,2015,b887,88.55215454101562,0.6731959581375122,0.024785747634990064
0,2.4732080858653944,9973.337890625,261.322509765625,2015,b893,78.74559783935547,0.6251339912414551,0.03140757266089781
1,2.5638371514641562,9977.572265625,261.615966796875,2015,b893,75.3932113647461,0.612510621547699,0.03400620699203971
2,2.622144253251463,10006.9521484375,261.4692077636719,2015,b893,78.33120727539062,0.6234701871871948,0.033475090509364126
3,2.563003162035727,9996.875,261.5670471191406,2015,b893,74.39883422851562,0.608848512172699,0.034449507020008895
0,2.148973179764141,9387.25,287.0773620605469,2015,b895,81.24304962158203,0.6074386239051819,0.02645116338903742
1,2.5765414203423234,9384.0908203125,286.97186279296875,2015,b895,84.38948822021484,0.618202805519104,0.030531544564162114
2,2.299259354216815,9381.6123046875,287.0773620605469,2015,b895,76.96482849121094,0.5925282835960388,0.029874156797210054
3,2.7304898096799093,9388.6904296875,286.97186279296875,2015,b895,80.11144256591797,0.6036444306373596,0.03408364301308374
4,2.416123228261654,9395.736328125,287.02459716796875,2015,b895,82.07550048828125,0.6103352904319763,0.02943781291478848
5,2.2790727811200213,9394.21484375,286.97186279296875,2015,b895,83.28079223632812,0.6144745945930481,0.02736612752977464
1,-2.533978503020137,7880.27734375,343.7206115722656,2015,b896,83.65978240966797,0.566653847694397,-0.03028908789902976
3,-2.5179140278483487,7886.82080078125,344.02587890625,2015,b896,80.2850341796875,0.5557000637054443,-0.031362184167636475
5,-2.0059599801995773,7896.96435546875,343.9648132324219,2015,b896,78.93180847167969,0.5513712167739868,-0.025413835297075513
